date,return,log_return,rolling_return_5d,rolling_return_10d,price_momentum,volume_ratio_20d,rolling_volume_mean,rolling_volume_std,obv,volatility_20d,true_range,atr_14d,rsi_14d,macd,symbol,is_pump_and_dump,is_wash_trading,is_spoofing,is_layering,is_manipulation,attribution_confidence,detector_agreement,label_confidence,centroid_distance,evidence_json,used_in_training
2026-01-14,0.815107585118336,0.0159884232879441,0.0696205967082548,0.0592381295126731,5422.050000000003,1.7000188329027504,13442.1418385,6475.17442631955,-431377.7083729998,-0.9813882658951556,1537.7799999999988,1143.827142857144,79.04896968697814,1213.170382449447,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-15,-0.7365574845928629,-0.0139907134975526,0.0563517695766075,0.0185925356044676,1745.0899999999965,1.5961715986818343,13611.2017705,6651.6446075415415,-453103.5220629998,-0.8402867058820489,1346.979999999996,1154.98142857143,70.92105377080894,1383.6158164627996,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-16,-0.0506712054478672,-0.0005635195827788,0.0498528517425684,0.0192320964389949,1802.9700000000007,0.800776321286736,13946.109922500002,6327.886216005082,-464271.2366629998,-0.8077071026719647,53.86000000000058,1076.250714285715,68.43639061795875,1497.091460587646,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-17,-0.2598644500909662,-0.0042283516305704,0.0421876266482066,0.0414124094174346,3783.6100000000006,0.3071353092473361,13937.8353485,6341.056822610817,-468552.0380329998,-0.7644966271449354,403.1699999999983,1059.8428571428583,65.23055978649128,1536.7742990263214,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-18,-0.8367902813762976,-0.0156196681906746,-0.0182453308738759,0.0282453378974025,2573.149999999994,0.5189086872482186,13287.8449705,6364.50957320206,-475447.2162229998,-0.6703101175282469,1474.6300000000049,1100.7650000000017,56.95428698612848,1432.7174425435223,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-19,-0.6085437873845,-0.0111876297516868,-0.0445662782055161,0.0219515876210045,1989.7200000000007,1.0710405692958913,13347.3258435,6368.277567034584,-489742.7436929998,-0.6267058094902141,1042.1399999999994,1008.7764285714292,45.6499280953517,1251.7304758684622,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-20,-2.604770832576011,-0.0464390422167479,-0.0750709169414087,-0.022949526378188,-2077.0399999999936,1.586712698341443,13869.761125,6636.746148319319,-511750.0697929998,-0.0367711191569234,4203.3399999999965,1301.0335714285716,35.39537521541939,760.3576617968938,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-21,0.5765313450408871,0.0115478706304071,-0.063800628230345,-0.0171284197480268,-1558.9199999999985,1.4134494742480657,14586.6577445,6547.493787503894,-491132.5660729999,-0.0334609619434997,1027.0699999999924,1204.123571428571,44.33663369860589,448.6454267061199,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-22,0.0051795518842552,0.0011724197832196,-0.0587307511253285,-0.0190208354783659,-1736.5299999999988,0.7592538143171063,14258.084339999998,6563.90854391805,-480307.0611529999,-0.0602052232487109,104.94000000000231,1192.75,45.38784920801268,207.68495275515303,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-23,-0.0124684531171002,0.0004531147192842,-0.0434796997303603,-0.0609317290963591,-5813.740000000005,0.95324704340734,14601.1354415,6343.358599078966,-466388.5719629999,-0.0560933205673492,40.58999999999651,1162.884285714285,46.80283875437795,19.76942526928906,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-24,-0.2495967364001607,-0.004193141802223,-0.0367658775140071,-0.0796936373937642,-7726.440000000002,0.2957474463985671,14291.137325,6699.599834641437,-470615.1393329999,-0.0680308217059288,374.9199999999983,1179.9085714285704,46.12754499137948,-157.59128059876093,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-25,-1.587731039806366,-0.029053123136142,-0.0198727411762338,-0.0934517932154034,-8934.440000000002,1.0320093752278394,13978.7685425,6529.846885048336,-485041.3595229999,-0.0808721592120234,2554.979999999996,1326.0535714285704,38.30232025747721,-498.56925493302697,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-26,1.09654155330988,0.0191611910276511,-0.0123822407154993,-0.075392874209296,-7203.860000000001,1.2745196122047897,13939.7733545,6503.409184734031,-467274.8449929999,0.0716460425317302,1676.7200000000012,1425.6371428571415,42.61202509955449,-626.2800980161846,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-27,0.5801986507624732,0.0101682728080736,-0.0034576947413942,-0.0619853728573985,-5897.770000000004,0.9454831535557224,13882.2190545,6505.365632667978,-454149.4407429999,-0.0209580055780341,902.9199999999984,1196.0028571428556,31.59345056509657,-647.1735494572204,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-28,0.0381303084321128,0.0005599552406158,-0.0033512179540549,-0.0466852077340419,-4373.149999999994,1.0391523262119988,13792.188746999998,6485.007582988411,-439817.2557229999,-0.0047200475540696,49.99000000000524,1089.7321428571418,24.92244162228596,-652.1800592818763,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-29,-2.8348089021073024,-0.0534743771871527,-0.0512766888868116,-0.0861573339378825,-7980.8399999999965,2.093771252597665,14534.243878,7475.10904624238,-470248.6377329999,0.637334517053032,4649.830000000002,1325.6499999999994,20.48714646723168,-1019.5968967880036,BTCUSDT,0,0,1,0,1,0.3525028494140364,0.5,0.1762514247070182,8.176014033542176,"[{""name"": ""volume_spike"", ""value"": 2.093771252597665, ""threshold"": 1.5, ""triggered"": true, ""z_score"": null}, {""name"": ""large_return"", ""value"": -2.8348089021073024, ""threshold"": 0.05, ""triggered"": true, ""z_score"": null}]",False
2026-01-30,-0.1898186594688614,-0.0046139268457584,-0.0278050073866082,-0.0471251868476446,-4167.169999999998,2.180817756196197,16138.830413499998,8292.12682195594,-505444.4856629999,0.6399208062508178,389.6699999999983,1349.6364285714278,20.12303842675089,-1326.9245398849744,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-31,-3.502658948711895,-0.0677479434199895,-0.1087301357328391,-0.1197660537346655,-10713.64,2.2137246218567848,17839.568183,9404.006770095515,-544936.3769929999,1.4061393667097664,5519.400000000009,1715.0814285714284,15.835274793283432,-1992.8806757599807,BTCUSDT,0,0,1,0,1,0.33692261873743434,0.5,0.16846130936871717,10.273803751904124,"[{""name"": ""volume_spike"", ""value"": 2.2137246218567848, ""threshold"": 1.5, ""triggered"": true, ""z_score"": null}, {""name"": ""high_volatility"", ""value"": 1.4061393667097664, ""threshold"": 0.8, ""triggered"": true, ""z_score"": null}, {""name"": ""large_return"", ""value"": -3.502658948711895, ""threshold"": 0.05, ""triggered"": true, ""z_score"": null}]",False
2026-02-01,-1.0692729611049971,-0.0227726489856116,-0.1376110924369746,-0.1405929700276921,-12591.459999999992,1.387735930877532,18299.938133,9543.245442384648,-570331.8586729999,1.4506392622273578,1772.87999999999,1736.3849999999989,15.64099304836526,-2633.356614969627,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-02-02,1.3863584222971053,0.0227411528626167,-0.1182685462786726,-0.1212234205570385,-10861.649999999994,2.194600815378369,19262.5419,10916.688631231493,-528058.2685129999,1.0809639555737662,1770.3999999999942,1788.40357142857,22.257000956559395,-2963.915751216846,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
